value,count
Fluff,309
Smut,133
Angst,116
Established Relationship,110
Getting Together,105
Phanfiction,100
Phan - Freeform,99
Friends to Lovers,95
Alternate Universe,93
Hurt/Comfort,86
Slow Burn,72
Happy Ending,56
Anal Sex,55
Pining,52
Coming Out,50
Fluff and Angst,49
Dirty Talk,47
Phan Fluff,47
Alternate Universe - High School,46
,45
Strangers to Lovers,39
Phan Smut,38
First Kiss,38
Angst with a Happy Ending,36
Fluff and Smut,33
Anal Fingering,33
Light Angst,33
Humor,32
Daddy Kink,32
AU,32
Blow Jobs,29
Romance,28
Rimming,28
Mutual Pining,27
Alternate Universe - College/University,27
First Time,26
Masturbation,26
Canon Compliant,25
Sexual Content,25
Explicit Sexual Content,25
Eventual Smut,25
Kissing,24
Praise Kink,24
Depression,24
Slow Build,23
punk!phil,22
Introspection,22
2009 Phan,21
Top Phil,21
pastel!dan,21
Alternate Universe - Soulmates,21
Dom/sub,20
top!phil,20
Friends With Benefits,20
Domestic Fluff,20
Marriage Proposal,20
Violence,19
Swearing,19
Pastel Dan,19
Punk Phil,19
Bullying,19
Spanking,19
Phan Angst,19
Bottom!Dan,18
Reality,18
DAN AND PHIL - Freeform,17
Falling In Love,17
Rough Sex,17
YouTube,17
Emotional Hurt/Comfort,16
Enemies to Lovers,16
Hand Jobs,16
Overstimulation,16
Panic Attacks,16
Cuddling & Snuggling,15
Love,15
Making Out,15
Christmas,15
danisnotonfire - Freeform,15
Phandom - Freeform,15
Anxiety,15
BDSM,15
Plot What Plot/Porn Without Plot,15
dom!Phil,14
Homophobia,14
Bottom Dan,14
Amazingphil - Freeform,14
Oral Sex,14
Alternate Universe - Coffee Shops & Cafés,14
Alcohol,14
Riding,14
Sharing a Bed,14
Frottage,14
Grinding,13
Gay,13
Pastel Dan and Punk Phil,13
First Meetings,13
Flirting,13
Fake/Pretend Relationship,13
Soulmate AU,13
Sexual Tension,13
Alpha/Beta/Omega Dynamics,13
Sex Toys,13
Soulmate-Identifying Marks,12
Alternate Universe - Different First Meeting,12
High School,12
Domestic,12
Edging,12
Past Abuse,12
One Shot,12
Tooth-Rotting Fluff,12
Sex,12
Recovery,12
Abuse,12
Jealousy,12
PWP,11
Bondage,11
Tour Fic,11
Soulmates,11
Barebacking,11
Shameless Smut,11
Enemies to Friends to Lovers,11
High School AU,11
Family,11
Multiple Orgasms,11
2009,10
Minor Character Death,10
Phandom Big Bang,10
Threesome - M/M/M,10
Comfort,10
Blood,10
Face-Fucking,10
Angst and Fluff and Smut,10
Marriage,9
Domestic Phan,9
Mental Health Issues,9
Orgasm Delay/Denial,9
Voyeurism,9
Tour Bus,9
Suicidal Thoughts,9
Implied/Referenced Homophobia,9
Oneshot,9
Punishment,9
Degradation,8
Blowjobs,8
Alternate Universe - Teenagers,8
Awkwardness,8
phanfic,8
Suicide Attempt,8
Christmas Fluff,8
Vibrators,8
Dan Howell - Freeform,8
Secret Relationship,8
Rape/Non-con Elements,8
Gay Sex,8
Homophobic Language,8
Hospitals,8
Nightmares,8
2009!phan,8
Closeted Character,8
TATINOF,8
Biting,8
Omega Verse,8
sub!dan,8
Recreational Drug Use,7
Semi-Public Sex,7
Self-Harm,7
Love Confessions,7
Deepthroating,7
Phil Lester - Freeform,7
Humiliation,7
The Amazing Tour Is Not on Fire,7
Demisexuality,7
Self-Hatred,7
Sexuality,7
Eventual Happy Ending,7
Alternate Universe - Historical,7
Texting,7
Public Sex,7
Magic,7
Unrequited Love,7
Alpha/Omega,7
Crossdressing,7
Rape,7
Teacher-Student Relationship,7
Omega!Dan,7
Begging,7
Mild Smut,7
Orgasm Denial,7
Sort Of,7
teenage!phan,6
Drinking,6
