value,count
Angst,165
Hurt/Comfort,134
Fluff,128
Other Additional Tags to Be Added,109
Fluff and Angst,105
Wilbur Soot and Technoblade and TommyInnit are Siblings,88
Niki | Nihachu-centric,68
TommyInnit-centric (Video Blogging RPF),68
Niki | Nihachu Needs a Hug,66
Sleepy Bois Inc as Family,64
Sheep Hybrid Cara | CaptainPuffy,60
Piglin Hybrid Technoblade (Video Blogging RPF),58
Character Death,49
Alternate Universe - High School,48
Alternate Universe,47
Alternate Universe - Modern Setting,47
Angst with a Happy Ending,47
TommyInnit Needs a Hug (Video Blogging RPF),47
Found Family,47
Enderman Hybrid Ranboo (Video Blogging RPF),46
Alternate Universe - Canon Divergence,46
Traumatized TommyInnit (Video Blogging RPF),46
Alternate Universe - Superheroes/Superpowers,46
Jschlatt is Toby Smith | Tubbo's Parent,42
Panic Attacks,41
Implied/Referenced Child Abuse,41
Alternate Universe - Royalty,40
Hurt No Comfort,39
Emotional Hurt/Comfort,38
Duck Hybrid Alexis | Quackity,37
BAMF Niki | Nihachu,37
Goat Hybrid Toby Smith | Tubbo,36
Angst and Hurt/Comfort,36
Author Is Sleep Deprived,35
Platonically Married Ranboo and Toby Smith | Tubbo,35
Kidnapping,33
Villain Clay | Dream (Video Blogging RPF),33
Platonic Relationships,32
Good Parent Phil Watson (Video Blogging RPF),32
Wilbur Soot is Floris | Fundy's Parent,31
Blood and Injury,30
Bad Parent Phil Watson (Video Blogging RPF),30
How Do I Tag,30
Wilbur Soot and TommyInnit are Siblings,30
Heavy Angst,29
Phil Watson is Wilbur Soot and Technoblade and TommyInnit's Parent,29
Villain Wilbur Soot,28
Not Beta Read,28
Protective Wilbur Soot,28
No Smut,28
Trans Floris | Fundy,28
Cara | CaptainPuffy and Jschlatt are Siblings,28
Twins Wilbur Soot & Technoblade,28
Everyone Needs A Hug,27
Winged Phil Watson (Video Blogging RPF),27
Protective Technoblade (Video Blogging RPF),27
Multiple Pronouns for Eret (Video Blogging RPF),27
Avian Phil Watson (Video Blogging RPF),26
Cara | CaptainPuffy is Clay | Dream's Parent,26
BAMF Cara | CaptainPuffy,26
Suicidal Thoughts,26
Magic,25
Alternate Universe - Fantasy,25
Baker Niki | Nihachu,25
Light Angst,25
Protective Cara | CaptainPuffy,25
Avian TommyInnit (Video Blogging RPF),24
Ranboo and Toby Smith | Tubbo Have a Child Named Michael,24
Implied/Referenced Self-Harm,24
Ranboo-centric (Video Blogging RPF),24
Vigilante TommyInnit (Video Blogging RPF),23
Canon-Typical Violence,23
I Wrote This Instead of Sleeping,23
They/Them Pronouns for Eret (Video Blogging RPF),23
Slow Burn,23
Niki | Nihachu and Ranboo are Siblings,23
Temporary Character Death,22
TommyInnit Needs a Break (Video Blogging RPF),22
Implied/Referenced Suicide,22
Emotional Manipulation,22
Parent Cara | CaptainPuffy,22
Winged TommyInnit (Video Blogging RPF),22
Traumatized Niki | Nihachu,22
Swearing,21
Hybrids,21
Violence,21
Ranboo Needs a Hug (Video Blogging RPF),21
Cara | CaptainPuffy Needs a Hug,21
Author is Not a Clay | Dream Apologist (Video Blogging RPF),20
Manipulative Clay | Dream (Video Blogging RPF),20
Alternate Universe - Gods & Goddesses,20
Grayson | Purpled and Luke | Punz are Siblings,20
Blood and Gore,20
Crack Treated Seriously,20
Trans TommyInnit (Video Blogging RPF),20
Toby Smith | Tubbo-centric,20
Vigilante Toby Smith | Tubbo,19
Established Relationship,19
Goddess of Death Kristin Rosales Watson,19
Cara | CaptainPuffy-centric,19
Angel of Death Phil Watson (Video Blogging RPF),19
Darryl Noveschosch is Called BadBoyHalo | BBH,19
Murder,19
TommyInnit Angst (Video Blogging RPF),19
Hurt TommyInnit (Video Blogging RPF),19
Alcohol Abuse/Alcoholism,19
Possessive Behavior,19
Hybrid Niki | Nihachu,19
Goat Hybrid Jschlatt (Video Blogging RPF),18
Alternate Universe - College/University,18
Vigilante Ranboo (Video Blogging RPF),18
Villain Technoblade (Video Blogging RPF),18
I'm Bad At Tagging,18
Wilbur Soot is Not Okay,18
Implied/Referenced Character Death,18
Technoblade Hears Voices (Video Blogging RPF),18
Chatting & Messaging,18
Noah Brown and Clay | Dream are Siblings,18
Alpha/Beta/Omega Dynamics,18
BAMF TommyInnit (Video Blogging RPF),18
Villain Niki | Nihachu,18
The Author Regrets Nothing,17
Creeper Hybrid Sam | Awesamdude,17
Older Sibling Wilbur Soot,17
He/Him and They/Them Pronouns for Ranboo (Video Blogging RPF),17
Mental Health Issues,17
Kinda,17
Smut,17
Texting,17
Canon Compliant,17
no beta we die like men,17
Major Character Injury,17
Clay | Dream-centric (Video Blogging RPF),17
Abuse,16
Villain Phil Watson (Video Blogging RPF),16
