value,count
Ineffable Husbands (Good Omens),254
Fluff,246
Hurt/Comfort,190
Angst,159
Aziraphale Loves Crowley (Good Omens),153
Crowley Loves Aziraphale (Good Omens),150
First Kiss,124
Angst with a Happy Ending,114
Emotional Hurt/Comfort,110
Love Confessions,110
Alternate Universe - College/University,110
Alternate Universe - Professors,107
Disabled Crowley (Good Omens),104
Mutual Pining,97
Anal Sex,96
First Time,94
Fluff and Smut,85
Fluff and Angst,84
Ineffable Idiots (Good Omens),83
Established Relationship,83
Romance,82
Smut,81
Post-Canon,79
Love,77
Idiots in Love,76
Bottom Aziraphale (Good Omens),76
Top Crowley (Good Omens),75
Protective Aziraphale (Good Omens),74
Humor,71
Top Aziraphale (Good Omens),69
Bottom Crowley (Good Omens),66
Protective Crowley (Good Omens),64
Pining,63
Slow Burn,59
Oral Sex,58
Snake Crowley (Good Omens),58
BAMF Aziraphale (Good Omens),57
Hurt Aziraphale (Good Omens),57
Blow Jobs,55
Wings,53
Porn with Feelings,53
Crowley Has a Penis (Good Omens),51
Hurt Crowley (Good Omens),50
Happy Ending,50
Plot What Plot/Porn Without Plot,50
Fluff and Humor,48
Alternate Universe - Human,46
Aziraphale Has a Penis (Good Omens),45
Kissing,43
Domestic Fluff,43
Cuddling & Snuggling,42
Anal Fingering,41
Hurt Crowley,40
Post-Apocalypse,39
Friends to Lovers,38
Crowley is a Mess (Good Omens),38
Anxious Aziraphale (Good Omens),37
Masturbation,37
South Downs Cottage (Good Omens),37
Light Angst,35
Praise Kink,34
Getting Together,34
Post-Almost Apocalypse (Good Omens),34
Hand Jobs,33
Sex,33
Soft Crowley (Good Omens),32
Misunderstandings,31
Post-Traumatic Stress Disorder - PTSD,31
BAMF Crowley (Good Omens),30
Service Top Crowley (Good Omens),29
Angst and Hurt/Comfort,29
Protective Crowley,28
Wingfic,28
Rimming,28
Asexual Aziraphale (Good Omens),27
Explicit Sexual Content,27
Crowley Was Raphael Before He Fell (Good Omens),27
POV Aziraphale (Good Omens),26
Crowley is Good With Kids (Good Omens),26
Aziraphale's Bookshop (Good Omens),25
Falling In Love,24
Eventual Smut,24
Canon Compliant,24
POV Crowley (Good Omens),24
POV Outsider,24
Soft Aziraphale (Good Omens),23
Friendship,23
Asexual Crowley (Good Omens),23
Wing Grooming,23
Asexual Relationship,23
6000 Years of Pining (Good Omens),23
Tooth-Rotting Fluff,22
Romantic Fluff,22
Oblivious Aziraphale (Good Omens),22
Tenderness,22
Aziraphale Has a Vulva (Good Omens),22
Sharing a Bed,22
Nonbinary Character,22
Crowley Has a Praise Kink (Good Omens),21
Banter,20
Fallen Angels,20
Caring Aziraphale (Good Omens),19
Aziraphale is "just enough of a bastard to be worth knowing" (Good Omens),19
Angel Wings,19
Wing Kink,19
No beta we fall like Crowley,19
Implied/Referenced Abuse,19
Demon Summoning,18
Crowley Has A Vulva (Good Omens),18
Whump,18
Emotional Sex,18
Angels,18
Alcohol,18
Making Love,18
Crowley Was Raphael Before Falling (Good Omens),18
Alternate Universe,17
Crowley is Bad at Being a Demon (Good Omens),17
Angst and Fluff and Smut,17
Nightmares,17
Torture,17
Eventual Happy Ending,17
Worried Aziraphale (Good Omens),17
Frottage,17
Asexual Character,17
Light Dom/sub,17
Alternate Universe - Canon Divergence,17
Comedy,17
Fix-It,16
Dirty Talk,16
Crying,15
Touch-Starved,15
Multiple Orgasms,15
Crowley is Bad at Feelings (Good Omens),15
Panic Attacks,15
Comfort,15
6000 Years of Slow Burn (Good Omens),15
Developing Relationship,14
Crowley's Plants (Good Omens),14
The Ineffable Plan (Good Omens),14
Light Bondage,14
Virgin Crowley (Good Omens),14
Biting,14
Jealous Crowley (Good Omens),14
Human Aziraphale (Good Omens),14
Implied/Referenced Torture,14
Sex Toys,13
Aftercare,13
5+1 Things,13
Domestic,13
Jealousy,13
True Love,13
Angel Crowley (Good Omens),13
NSFW Art,13
Crowley Needs a Hug (Good Omens),13
Sickfic,13
Genderfluid Crowley (Good Omens),13
Footnotes,13
Crowley Whump (Good Omens),12
The Night At Crowley's Flat (Good Omens),12
Touch-Starved Crowley (Good Omens),12
Pre-Slash,12
Gentle Dom Aziraphale (Good Omens),12
Trans Character,12
Historical,12
Rough Sex,12
POV Alternating,12
Dining at the Ritz (Good Omens),12
Semi-Public Sex,12
Aziraphale and Crowley Through The Ages (Good Omens),12
Disability,12
Chubby Aziraphale (Good Omens),12
Orgasm Delay/Denial,12
Other Additional Tags to Be Added,12
Good Omens Season 2,12
Gay Sex,12
Heaven is Terrible (Good Omens),12
Shameless Smut,12
Blood,11
Suicidal Thoughts,11
Depression,11
Hugs,11
Oblivious Crowley (Good Omens),11
Sub Crowley (Good Omens),11
Anxiety,11
Enemies to Friends to Lovers,11
Pre-Relationship,11
Possessive Crowley (Good Omens),11
Human AU,11
Angst and Feels,11
Wall Sex,11
Missing Scene,11
Do not translate without permission or copy to another site/app,11
Snakes,11
Miscommunication,11
Virgin Aziraphale (Good Omens),11
ineffable husbands,11
Coming Untouched,11
Aziraphale Whump (Good Omens),10
Summoning Circles,10
First Meetings,10
Angel/Demon Relationship,10
Minor Character Death,10
Sad Crowley (Good Omens),10
Fluff and Hurt/Comfort,10
Implied/Referenced Homophobia,10
Pre-Canon,10
Cunnilingus,10
AU,10
Art,10
Spanking,10
Swearing,10
Power Bottom Aziraphale (Good Omens),10
Vaginal Sex,10
Confessions,10
Fake/Pretend Relationship,10
Crowley's Flat (Good Omens),10
Post-Season/Series 02,10
Neurodiversity,10
Memory Loss,10
Eventual Romance,10
First Time Blow Jobs,10
Temporary Character Death,10
Violence,10
Grief/Mourning,9
Non-Graphic Violence,9
Arguing,9
Making Out,9
Caring Crowley (Good Omens),9
Heavy Angst,9
Teasing,9
