value,count
Fluff,158
Alternate Universe,117
Knotting,105
Angst,98
First Time,97
Hurt/Comfort,87
Alternate Universe - Canon Divergence,73
Misunderstandings,72
Slow Build,71
Pining,68
Alpha/Beta/Omega Dynamics,68
Alternate Universe - Human,68
Alpha Derek,67
Alternate Universe - Werewolves Are Known,67
Anal Sex,66
Humor,63
Rimming,63
Canon-Typical Violence,61
Pack Dynamics,58
Alive Hale Family,57
Blow Jobs,55
Happy Ending,54
Future Fic,54
BAMF Stiles,53
Magical Stiles Stilinski,51
Scent Marking,51
Mates,51
Fake/Pretend Relationship,50
Pack Feels,49
Kid Fic,48
Alternate Universe - College/University,47
Angst with a Happy Ending,47
Getting Together,46
Alternate Universe - No Hale Fire,45
Omega Stiles Stilinski,44
Established Relationship,43
Romance,42
Oblivious Stiles,41
Alpha Derek Hale,41
First Kiss,41
Mating Cycles/In Heat,39
Mutual Pining,38
Frottage,37
Fluff and Angst,37
Oral Sex,37
Dubious Consent,36
Alternate Universe - High School,35
Mpreg,34
Bottom Stiles Stilinski,33
Spark Stiles Stilinski,32
Masturbation,30
Slow Burn,29
Sheriff Stilinski's Name is John,29
Magic,29
Hand Jobs,29
Panic Attacks,29
Miscommunication,28
Barebacking,28
Explicit Sexual Content,28
Scenting,27
Hurt Stiles,26
Possessive Behavior,25
Dirty Talk,24
Wolf Derek,24
Kidnapping,24
Full Shift Werewolves,23
Violence,23
Don’t copy to another site,23
Oblivious Derek,23
Alive Laura Hale,22
Hale Family Feels,22
Cuddling & Snuggling,21
Friends to Lovers,21
Alternate Universe - Soulmates,21
Alternate Universe - No Werewolves,21
Werewolves,21
Underage Drinking,20
Emotional Hurt/Comfort,20
Plot What Plot/Porn Without Plot,20
Anal Fingering,20
Stilinski Family Feels,20
Crack,20
Pack Bonding,20
Soulmates,19
Protective Derek,19
Loss of Virginity,19
Mildly Dubious Consent,19
Minor Character Death,19
Marking,18
Bottom Derek,18
Mating,17
Emissary Stiles Stilinski,17
Alternate Universe - Everyone Lives/Nobody Dies,17
Podfic Available,17
Deputy Derek Hale,17
Soul Bond,17
Pre-Slash,16
Top Derek Hale,16
Tumblr Prompt,16
POV Stiles,16
Werewolf Stiles Stilinski,16
Biting,16
,16
Alternate Universe - Modern Setting,16
Derek Hale Deserves Nice Things,16
Bottom Derek Hale,15
Alternate Universe - Royalty,15
Werewolf Mates,15
Magic!Stiles,15
Angst and Humor,15
POV Alternating,14
Canonical Character Death,14
AU,14
Pining Derek,14
POV Derek,14
POV Derek Hale,14
BAMF!Stiles,14
Scott is a Bad Friend,14
Past Kate Argent/Derek Hale,14
Comeplay,14
Love Confessions,13
Voyeurism,13
Don't copy to another site,13
Witches,13
Domestic,13
Multiple Orgasms,13
Pack Mom Stiles Stilinski,13
Alternate Universe - Coffee Shops & Cafés,13
Nightmares,13
College Student Stiles,13
Monster of the Week,12
Alternate Universe - Historical,12
Sharing a Bed,12
Torture,12
Bullying,12
Claiming,12
Sexual Content,12
Sexual Tension,12
Slow Build Derek Hale/Stiles Stilinski,12
Smut,12
Coming Untouched,11
Friendship,11
Derek is a Good Alpha,11
Light Angst,11
Self-Lubrication,11
Canon Compliant,11
Soulmate-Identifying Marks,11
Time Travel,11
Amnesia,11
Alternate Universe - Fusion,11
Arranged Marriage,10
Implied Mpreg,10
Phone Sex,10
PWP,10
Jealous Derek,10
Falling In Love,10
Jealousy,10
sterek,10
Minor Vernon Boyd/Erica Reyes,10
Tattoos,10
Deputy Stiles Stilinski,10
Omega Verse,10
Alpha/Omega,10
Intercrural Sex,10
Sex Toys,10
Age Difference,10
Christmas,10
Family,10
Mystery,10
Post-Traumatic Stress Disorder - PTSD,10
Idiots in Love,9
Secret Relationship,9
Everyone Is Alive,9
Top Stiles Stilinski,9
Domestic Fluff,9
Temporary Amnesia,9
Derek Hale is Bad at Feelings,9
