value,count
Fluff,203
,142
Angst,128
Seulrene,107
Romance,88
Smut,70
Alternate Universe,50
Alternate Universe - College/University,46
Fluff and Angst,43
Light Angst,34
Hurt/Comfort,33
One Shot,31
Friends to Lovers,29
Alternate Universe - High School,28
Established Relationship,28
Angst with a Happy Ending,25
Futanari,25
Slow Burn,22
Alternate Universe - Fantasy,22
Lesbian Sex,21
Humor,19
Girl Penis,19
Slice of Life,18
Red Velvet,18
Alternate Universe - Modern Setting,18
Alpha/Beta/Omega Dynamics,18
Happy Ending,17
Explicit Sexual Content,17
Domestic Fluff,17
Pining,16
Tooth-Rotting Fluff,16
Fluff and Humor,16
Fluff and Smut,14
Drama,13
Drabble,13
Alternate Universe - Soulmates,13
Mutual Pining,13
Friendship,12
Unrequited Love,12
Out of Character,12
Eventual Smut,12
Implied Sexual Content,11
Vaginal Fingering,11
Lesbian Character,11
Violence,10
Supernatural Elements,10
Blood and Violence,10
Witches,10
Plot What Plot/Porn Without Plot,10
Anal Sex,10
Crack,10
Alternate Universe - Vampire,10
kpop,10
Canon Compliant,9
Love Confessions,9
Arranged Marriage,9
Short One Shot,9
Sex,9
Vampires,9
Murder,9
Enemies to Lovers,9
Heavy Angst,9
Falling In Love,9
High School,9
Alternate Universe - Royalty,9
Attempt at Humor,9
Strangers to Lovers,9
Oral Sex,9
Explicit Language,9
Love,8
Friendship/Love,8
Eventual Romance,8
Getting Together,8
Alternate Universe - Coffee Shops & Cafés,8
Homophobia,8
Alternate Universe - Historical,8
Irene - Freeform,8
Action/Adventure,8
Depression,8
Alternate Universe - Not K-Pop Idols,8
Fluff and Crack,8
Rough Sex,8
Sex Toys,8
Strap-Ons,8
One Shot Collection,8
Eventual Happy Ending,7
Internalized Homophobia,7
Roommates,7
Secret Relationship,7
Love Triangles,7
Implied/Referenced Character Death,7
Kang Seulgi-centric,7
Past Relationship(s),7
LGBTQ Character,7
Soulmates,7
Kissing,7
Vaginal Sex,7
Dom/sub,7
Jealousy,7
Dirty Talk,7
Drinking,7
Comedy,6
Angst and Hurt/Comfort,6
Unhealthy Relationships,6
Blood and Gore,6
Alternate Universe - Superheroes/Superpowers,6
First Time,6
College,6
Character Death,6
Ambiguous/Open Ending,6
Childhood Friends,6
LGBTQ Themes,6
seulgi - Freeform,6
mafia,6
Girls Kissing,6
Minor Violence,6
Shameless Smut,6
Christmas Fluff,6
Meet-Cute,6
POV Lesbian Character,6
Shower Sex,6
Rimming,6
Cute,6
Oneshot,6
Other Additional Tags to Be Added,6
Omega Verse,6
joyri - Freeform,6
Fake/Pretend Relationship,6
Minor Character Death,6
Domestic,6
Idiots in Love,5
Slow Romance,5
Fantasy,5
Mystery,5
Non-Graphic Violence,5
I'm Bad At Tagging,5
Magic,5
Dark,5
Horror,5
girlxgirl,5
Lesbian Bae Joohyun | Irene,5
Sad,5
Bittersweet Ending,5
Cunnilingus,5
Organized Crime,5
Anal Fingering,5
Alternate Universe - Gangsters,5
Drama & Romance,5
Alternate Universe - Actors,5
First Kiss,5
lapslock,5
Alternate Universe - Modern with Magic,5
Sexuality Crisis,5
Lesbian Irene,5
Multiple Orgasms,5
Praise Kink,5
Romantic Comedy,5
Implied/Referenced Homophobia,5
Panic Attacks,5
