value,count
Hurt/Comfort,288
Fluff,265
Angst,236
Wilbur Soot and Technoblade and TommyInnit are Siblings,227
Sleepy Bois Inc as Family,195
Good Parent Phil Watson (Video Blogging RPF),194
Goddess of Death Kristin Rosales Watson,179
TommyInnit-centric (Video Blogging RPF),175
Fluff and Angst,165
Winged Phil Watson (Video Blogging RPF),161
TommyInnit Needs a Hug (Video Blogging RPF),147
Angel of Death Phil Watson (Video Blogging RPF),141
Angst with a Happy Ending,134
Other Additional Tags to Be Added,131
Protective Technoblade (Video Blogging RPF),119
Piglin Hybrid Technoblade (Video Blogging RPF),119
Found Family,113
Protective Wilbur Soot,101
Avian Phil Watson (Video Blogging RPF),98
Twins Wilbur Soot & Technoblade,97
Protective Phil Watson (Video Blogging RPF),94
Parent Kristin Rosales Watson,92
Traumatized TommyInnit (Video Blogging RPF),88
Parent Phil Watson (Video Blogging RPF),85
Alternate Universe - Modern Setting,83
Sleepy Bois Inc-centric,82
Technoblade-centric (Video Blogging RPF),82
Implied/Referenced Child Abuse,79
Alternate Universe - Royalty,76
Blood and Injury,76
Family Dynamics,75
Kidnapping,73
Emotional Hurt/Comfort,68
Avian TommyInnit (Video Blogging RPF),66
TommyInnit Angst (Video Blogging RPF),65
Winged TommyInnit (Video Blogging RPF),64
Bad Parent Phil Watson (Video Blogging RPF),64
Older Sibling Wilbur Soot,61
Technoblade Hears Voices (Video Blogging RPF),61
Immortal Phil Watson (Video Blogging RPF),61
Dark Sleepy Bois Inc,61
Domestic Fluff,60
Phil Watson is Wilbur Soot and Technoblade and TommyInnit's Parent,60
Character Death,59
Panic Attacks,58
Happy Ending,58
Alternate Universe,57
Alternate Universe - Superheroes/Superpowers,57
Enderman Hybrid Ranboo (Video Blogging RPF),57
Alternate Universe - Fantasy,57
Family Fluff,56
Adoptive Parent Phil Watson (Video Blogging RPF),56
Platonic Relationships,55
Good Parent Kristin Rosales Watson,54
Kristin Rosales Watson as Death,54
Platonic Cuddling,53
BAMF TommyInnit (Video Blogging RPF),50
Alternate Universe - Gods & Goddesses,50
Blood God Technoblade (Video Blogging RPF),49
Alternate Universe - Magic,49
Not Beta Read,49
Wilbur Soot-centric,48
Wilbur Soot and Technoblade are Siblings,47
Sleepy Bois Inc Fluff,46
Phil Watson-centric (Video Blogging RPF),45
Sleepy Bois Inc as Found Family,45
Angst and Hurt/Comfort,45
Alternate Universe - Canon Divergence,45
Piglin Technoblade (Video Blogging RPF),45
Platonic Soulmates,44
Minor Character Death,44
Hurt TommyInnit (Video Blogging RPF),44
Prince Wilbur Soot,43
Blood and Violence,42
Crack Treated Seriously,42
Kid TommyInnit (Video Blogging RPF),42
Implied/Referenced Character Death,41
Violence,40
Bird Hybrid Phil Watson (Video Blogging RPF),39
Wilbur Soot Needs a Hug,39
Prince TommyInnit (Video Blogging RPF),39
Canon-Typical Violence,39
Baby TommyInnit (Video Blogging RPF),38
Wilbur Soot and TommyInnit are Siblings,38
Heavy Angst,38
Protective Sleepy Bois Inc,38
TommyInnit Needs a Break (Video Blogging RPF),38
BAMF Technoblade (Video Blogging RPF),37
Child Neglect,37
Temporary Character Death,37
King Phil Watson (Video Blogging RPF),37
Alternate Universe - Foster Family,37
Protective Kristin Rosales Watson,36
Goat Hybrid Toby Smith | Tubbo,36
Hybrids,36
Sad TommyInnit (Video Blogging RPF),36
Immortal Technoblade (Video Blogging RPF),36
Post-Traumatic Stress Disorder - PTSD,36
Technoblade Needs a Hug (Video Blogging RPF),35
Scared TommyInnit (Video Blogging RPF),35
Magic,35
Jschlatt is Toby Smith | Tubbo's Parent,35
Prince Technoblade (Video Blogging RPF),35
Tooth-Rotting Fluff,35
Hybrid TommyInnit (Video Blogging RPF),35
Winged Wilbur Soot,34
Vigilante TommyInnit (Video Blogging RPF),33
Ranboo-centric (Video Blogging RPF),33
Wilbur Soot is Not Okay,33
Child Abuse,33
Suicidal Thoughts,33
Human TommyInnit (Video Blogging RPF),33
BAMF Phil Watson (Video Blogging RPF),32
Author Is Sleep Deprived,32
Villain Clay | Dream (Video Blogging RPF),32
It Gets Worse Before It Gets Better,32
Soft Technoblade (Video Blogging RPF),31
Adoption,31
Blood,31
Mentioned Kristin Rosales Watson,31
Light Angst,31
Past Child Abuse,31
Technoblade is Bad at Feelings (Video Blogging RPF),30
Phil Watson Needs a Hug (Video Blogging RPF),30
Kinda,30
Villain Wilbur Soot,30
Manipulative Clay | Dream (Video Blogging RPF),30
Hurt No Comfort,29
Wilbur Soot is Floris | Fundy's Parent,29
Protective TommyInnit (Video Blogging RPF),29
Major Character Injury,28
Clay | Dream is Not a Villain (Video Blogging RPF),28
Death,28
Implied/Referenced Suicide,28
BAMF Kristin Rosales Watson,27
Not RPF,27
Sleepy Bois Inc Angst,27
Alternate Universe - Space,27
Emotional Manipulation,27
Avian Wilbur Soot,27
Phil Watson is Called Philza (Video Blogging RPF),26
How Do I Tag,26
Comfort,26
Queerplatonic Relationships,26
Phantom Hybrid Wilbur Soot,26
Swearing,26
Families of Choice,26
Implied/Referenced Self-Harm,26
Foster Care,26
Blood and Gore,26
Dehumanization,26
Platonically Married Ranboo and Toby Smith | Tubbo,25
Villain Phil Watson (Video Blogging RPF),25
Grief/Mourning,25
Possessive Behavior,25
Self-Harm,25
Alternate Universe - Soulmates,24
Hero Phil Watson (Video Blogging RPF),24
Sickfic,24
Siren Wilbur Soot,24
Dark Phil Watson (Video Blogging RPF),24
Fluff and Humor,24
Elytrian Phil Watson (Video Blogging RPF),24
Friendship,24
Alternate Universe - Vampire,23
Phil Watson is Wilbur Soot's Parent,23
Minor Violence,23
Accidental Baby Acquisition,23
Antarctic Empire Faction on SMPEarth (Video Blogging RPF),23
Past Character Death,23
Crack,22
Misunderstandings,22
Villain Technoblade (Video Blogging RPF),22
Abandoned Work - Unfinished and Discontinued,22
Manipulation,22
Piglin Hybrid Wilbur Soot,22
Protective Ranboo (Video Blogging RPF),21
Toby Smith | Tubbo-centric,21
Mentioned Technoblade (Video Blogging RPF),21
The Author Regrets Nothing,21
Murder,21
IRL Fic,21
Protective Toby Smith | Tubbo,21
I'm Bad At Tagging,20
Mentioned Ranboo (Video Blogging RPF),20
Hero Technoblade (Video Blogging RPF),20
Phil Watson is TommyInnit's Parent (Video Blogging RPF),20
Torture,20
