value,count
Fluff,283
Angst,120
Minayeon,110
Fluff and Angst,81
Smut,76
,69
Eventual Smut,50
Alternate Universe - College/University,49
Light Angst,48
Slow Burn,47
Romance,47
Alternate Universe,38
Established Relationship,38
One Shot,37
Hurt/Comfort,36
Polyamory,36
Alternate Universe - High School,33
Friends to Lovers,31
Angst with a Happy Ending,29
Alpha/Beta/Omega Dynamics,28
Domestic Fluff,27
Fluff and Smut,26
Happy Ending,25
Mutual Pining,22
Explicit Sexual Content,21
Pining,19
Fluff and Humor,16
Implied Sexual Content,15
K-universe,15
Fake/Pretend Relationship,15
Alpha Mina,15
Futanari,14
Teasing,14
Emotional Hurt/Comfort,13
Shameless Smut,13
Enemies to Lovers,13
Plot What Plot/Porn Without Plot,13
Idiots in Love,13
Slice of Life,12
Childhood Friends,12
Unrequited Love,11
Im Nayeon-centric,11
Sexual Tension,11
Vaginal Fingering,11
twice,11
Tooth-Rotting Fluff,11
Other Additional Tags to Be Added,10
Oral Sex,10
Strap-Ons,10
Omega Nayeon,10
Mina G!p,10
G!P Mina,10
Enemies to Friends to Lovers,10
Heavy Angst,9
GP,9
Friends With Benefits,9
Top Myoui Mina,9
Romantic Fluff,9
Sex Toys,9
AU,8
Strangers to Lovers,8
High School,8
Short One Shot,8
Drama,8
I'm Sorry,8
Alternate Universe - Soulmates,8
Vaginal Sex,8
Lesbian Sex,8
Cute,8
Exes to Lovers,8
Crack,8
Mentioned TWICE Ensemble,7
Cheating,7
Angst and Hurt/Comfort,7
Mental Health Issues,7
Alternate Universe - Modern Setting,7
Love Confessions,7
Misunderstandings,7
Myoui Mina-centric,7
How Do I Tag,7
Overstimulation,7
Friendship,7
Mild Smut,7
Caring Girlfriends,7
Christmas Fluff,7
Based on a Taylor Swift Song,6
Drabble,6
I Wrote This Instead of Sleeping,6
Love Triangles,6
Im Nayeon is Whipped,6
Rough Sex,6
Angst?,6
Arranged Marriage,6
Best Friends,6
Fluff and Crack,6
Fluff without Plot,6
idiots to lovers,6
Friendship/Love,6
Omega Im Nayeon,6
Sexual Content,6
Secret Relationship,6
Christmas,6
Suicide Attempt,5
First Time,5
Ambiguous/Open Ending,5
Murder,5
I'm Bad At Tagging,5
Implied/Referenced Self-Harm,5
Girl Penis,5
Threesome - F/F/F,5
Vampires,5
jeongmi,5
2YEON - Freeform,5
Inspired by Music,5
minayeon oneshot,5
Alternate Universe - Canon Divergence,5
Comfort,5
Violence,5
Romantic Comedy,5
A little angst,5
Family,5
Dirty Talk,5
Falling In Love,5
Jealousy,5
Canon Compliant,5
Bottom Kim Dahyun,5
Anal Sex,5
Multiple Orgasms,5
G!P,5
michaeng,5
Eventual Fluff,5
Not Actually Unrequited Love,5
Flirting,5
Abuse,5
Masturbation,5
Alternate Universe - Office,5
Not Beta Read,5
Alternate Universe - Canon,5
Kissing,5
Fanfiction,5
Alternate Universe - Vampire,5
Alternate Universe - Superheroes/Superpowers,5
College AU,5
clueless minayeon,5
Crimes & Criminals,4
Time Travel,4
Alternate Universe - Time Travel,4
Anxiety,4
Alcohol,4
#Minayeon,4
No Plot/Plotless,4
Internalized Homophobia,4
Minayeon-centric,4
squint for Sahyo,4
Roommates,4
Magic,4
First Kiss,4
Drinking,4
One Shot Collection,4
Threesome,4
Homophobia,4
Domestic,4
Foursome - F/F/F/F,4
Depression,4
Crushes,4
Alternate Universe - Fantasy,4
Cuddling & Snuggling,4
just fluff,4
Soulmates,4
Character Death,4
Top Im Nayeon,4
Double Penetration,4
Female Ejaculation,4
Squirting,4
Omega Verse,4
Knotting,4
Mild Language,4
Hanahaki Disease,4
Mommy Kink,4
Pregnancy,4
squint for samo,4
Porn With Plot,4
Feelings Realization,4
Fluff and Hurt/Comfort,4
Eventual Happy Ending,4
Drugs,4
Short & Sweet,4
Angst and Fluff and Smut,4
Porn with Feelings,4
Family Fluff,4
nayeon - Freeform,4
Mina - Freeform,4
Humor,4
soft,4
Alternate Universe - Roommates/Housemates,4
samo,4
Self-Indulgent,4
I Don't Even Know,3
Drama & Romance,3
CEO Im Nayeon,3
College | University Student Myoui Mina,3
Mystery,3
Mild Hurt/Comfort,3
saida,3
idol nayeon,3
Mild Sexual Content,3
Love at First Sight,3
Hospitals,3
Break Up,3
Sickfic,3
Ghosts,3
Reincarnation,3
PWP,3
Cancer,3
Denial of Feelings,3
Thriller,3
Mentioned Other K-pop Artist(s),3
Alternate Universe - Childhood Friends,3
I Will Go Down With This Ship,3
Marriage,3
Bottom Minatozaki Sana,3
kpop,3
mature - Freeform,3
A Bit of Fluff,3
Divorce,3
Insecurity,3
Slow Build,3
Slow Romance,3
pure fluff,3
Alternate Universe - Not K-Pop Idols,3
Camping,3
Anal,3
Rimming,3
Sweet Talk,3
Smoking,3
Eventual Romance,3
Alternate Universe - Arranged Marriage,3
Minor Hirai Momo/Minatozaki Sana,3
Heartbreak,3
Long-Distance Relationship,3
Alternate Universe - Royalty,3
Minayeon fluff,3
Mentions of Blood,3
Modern Royalty,3
Past Relationship(s),3
Cunnilingus,3
Alpha/Omega,3
Oneshot,3
Spanking,3
Mafia AU,3
Cheesy,3
Secret Crush,3
Edging,3
Shower Sex,3
Dom/sub,3
bottom im nayeon,3
Suicidal Thoughts,3
Non-Graphic Violence,3
Time Skips,3
Side Samo,3
MiSaMo - Freeform,3
Developing Relationship,3
CEO Myoui Mina,3
Gay Panic,3
Alternate Universe - Criminals,3
slight angst,3
Student Nayeon,3
Heavy pining,3
