value,count
Alternate Universe - Modern Setting,216
Alternate Universe - Canon Divergence,188
Angst,187
Slow Burn,119
Explicit Sexual Content,102
Fluff,98
Romance,93
R Plus L Equals J,91
Smut,85
Jon Snow is a Targaryen,84
Sexual Content,68
Mutual Pining,66
Cunnilingus,65
Hurt/Comfort,61
Arranged Marriage,60
Angst with a Happy Ending,59
Cousin Incest,54
Jealousy,50
jonsa,41
Half-Sibling Incest,37
Dark Jon Snow,36
Alternate Universe,36
Friends to Lovers,35
Canon-Typical Violence,35
Post-Canon,34
Dirty Talk,34
Sansa Stark is Queen in the North,33
Canon Compliant,33
Pregnancy,32
Falling In Love,31
Politics,30
Family,29
Jon Snow is King in the North,29
Future Fic,29
Jon and Sansa Are Not Related,27
Jon and the Starks Are Not Related,27
Light Angst,27
Fluff and Angst,26
Oral Sex,26
Incest,26
Fix-It,25
,25
R Plus L Equals J | Lyanna Stark and Rhaegar Targaryen are Jon Snow's Parents,25
Jon Snow Knows Something,24
Secret Relationship,24
POV Multiple,24
BAMF Sansa Stark,24
POV Sansa Stark,24
First Time,24
Rough Sex,23
Character Death,23
Alternate Universe - College/University,23
Marriage of Convenience,23
Time Travel,23
Sharing a Bed,22
Pining,21
Humor,21
Sibling Incest,21
Fake/Pretend Relationship,21
Political Jon Snow,21
Sexual Tension,21
Possessive Behavior,20
Emotional Hurt/Comfort,20
Eventual Smut,20
BAMF Jon Snow,19
Other Additional Tags to Be Added,19
Love,19
Loss of Virginity,19
Unresolved Sexual Tension,18
Jon Snow is Not Called Aegon,18
Explicit Language,18
Angst and Hurt/Comfort,18
Dark!Jon,18
Violence,18
Masturbation,17
Vaginal Fingering,17
Shameless Smut,17
Implied/Referenced Rape/Non-con,17
Happy Ending,17
Past Rape/Non-con,16
Sex,16
Dragons,16
Modern Westeros,16
Jon Snow is Not a Stark,16
Canon Universe,16
Forbidden Love,16
Queen in the North,16
Post-Traumatic Stress Disorder - PTSD,16
Drama,16
Time Travel Fix-It,15
Alternate Universe - Rhaegar Won,15
Voyeurism,15
Fluff and Smut,15
Alternate Universe - Historical,15
Misunderstandings,15
Alternate Universe - Arranged Marriage,15
Past Abuse,15
Heavy Angst,14
Plot What Plot/Porn Without Plot,14
Aged-Up Character(s),14
POV Alternating,14
King Jon Snow,14
Love Confessions,14
Jon Snow and the Starks Are Not Related,14
Unresolved Romantic Tension,14
Jon Snow Knows Nothing,14
Warg Jon Snow,13
Sansa Stark-centric,13
Alternate Universe - High School,13
Slow Build,13
Alternate Universe - Soulmates,13
Family Feels,13
War,13
Grief/Mourning,13
Dark Dany,13
Vaginal Sex,12
Post-Series,12
Blow Jobs,12
Minor Arya Stark/Gendry Waters,12
Jon Snow and Sansa Stark Are Not Related,12
Idiots in Love,12
Drama & Romance,12
POV Jon Snow,12
Family Drama,12
Sansa-centric,12
Matchmaking,11
Unplanned Pregnancy,11
Cheating,11
Domestic Fluff,11
Protective Jon Snow,11
Flirting,11
