value,count
Fluff,204
Alternate Universe - Canon Divergence,181
Slow Burn,170
Angst,164
Marauders Era (Harry Potter),135
Alternate Universe - Modern Setting,130
Time Travel,122
Hurt/Comfort,116
Marauders,101
Alternate Universe,81
Friends to Lovers,78
Fluff and Angst,78
wolfstar,78
Marauders' Era,73
Implied/Referenced Child Abuse,70
Romance,63
Humor,62
Manipulative Albus Dumbledore,57
Albus Dumbledore Bashing,57
Pining,56
Time Travel Fix-It,55
Mutual Pining,54
Angst with a Happy Ending,53
Alternate Universe - Non-Magical,52
First War with Voldemort,51
Alternate Universe - Muggle,48
Marauders Friendship (Harry Potter),46
First Kiss,46
Female Harry Potter,45
James Potter Lives,44
Child Abuse,42
Explicit Sexual Content,42
Getting Together,41
Lily Evans Potter Lives,41
Slytherin Harry Potter,40
Texting,39
Wrong Boy-Who-Lived (Harry Potter),38
Happy Ending,38
Pureblood Culture (Harry Potter),37
Alternate Universe - Everyone Lives/Nobody Dies,37
Hogwarts,36
Smut,36
Alternate Universe - College/University,35
Regulus Black Lives,35
Alternate Universe - Time Travel,35
Other Additional Tags to Be Added,35
Master of Death Harry Potter,34
James Potter & Lily Evans Potter Live,33
jily,33
Good Severus Snape,33
Magically Powerful Harry Potter,33
Minor Character Death,33
Sirius Black & James Potter Friendship,32
Alternate Universe - Soulmates,31
Past Child Abuse,31
Anal Sex,29
Friendship,29
Mpreg,29
Dark Harry Potter,29
Canon Compliant,28
Fix-It,28
Lily Evans Potter Bashing,28
Soulmates,28
Canonical Character Death,28
Violence,28
Enemies to Friends to Lovers,28
Soulmate-Identifying Marks,27
Gay Sirius Black,27
Explicit Language,27
Ron Weasley Bashing,27
Pureblood Society (Harry Potter),26
Falling In Love,26
BAMF Harry Potter,26
Harry Potter is Not the Boy-Who-Lived,25
Canon-Typical Violence,25
Alternate Universe - No Voldemort,24
Idiots in Love,24
Fluff and Humor,24
James Potter Bashing,24
Eventual Smut,24
Sane Tom Riddle,24
Domestic Fluff,23
Modern Marauders (Harry Potter),23
Slow Build,23
Enemies to Lovers,23
Sexual Content,23
Alternate Universe- non magic,23
Dimension Travel,23
Bisexual Remus Lupin,22
Drama,22
Horcruxes,22
Fluff and Smut,22
Bullying,22
Grief/Mourning,22
Pureblood Politics (Harry Potter),22
Post-Traumatic Stress Disorder - PTSD,21
Emotional Hurt/Comfort,21
Possessive Tom Riddle,21
Hermione Granger Bashing,21
Molly Weasley Bashing,21
Powerful Harry,20
POV Multiple,20
Light Angst,20
Polyamory,19
