value,count
Bakugou Katsuki Swears A Lot,312
Parental Aizawa Shouta | Eraserhead,267
BAMF Midoriya Izuku,254
Bakugou Katsuki is Bad at Feelings,215
Angst,213
Midoriya Izuku Needs A Hug,207
Hurt/Comfort,198
Protective Bakugou Katsuki,196
Midoriya Izuku Has a Quirk,189
Quirkless Midoriya Izuku,184
Midoriya Izuku Does Not Have One for All Quirk,184
Fluff,152
Alternate Universe - Canon Divergence,152
Bakugou Katsuki is a Good Friend,125
Protective Aizawa Shouta | Eraserhead,119
Fluff and Angst,112
Midoriya Izuku Has One for All Quirk,108
Angst with a Happy Ending,107
Parental Yagi Toshinori | All Might,104
Midoriya Izuku is a Ray of Sunshine,103
Dadzawa,97
Other Additional Tags to Be Added,94
Soft Bakugou Katsuki,91
Shinsou Hitoshi is in Class 1-A,90
Implied/Referenced Child Abuse,89
Emotional Hurt/Comfort,89
Canon-Typical Violence,85
Vigilante Midoriya Izuku,85
Midoriya Izuku is a Little Shit,85
Shinsou Hitoshi Replaces Mineta Minoru,83
Hurt Midoriya Izuku,82
Panic Attacks,80
Good Parent Midoriya Inko,76
Bakugou Katsuki & Midoriya Izuku Friendship,74
Protective Midoriya Izuku,72
Parental Yamada Hizashi | Present Mic,71
Cute Midoriya Izuku,68
Slow Burn,67
Bullying,65
Crack,64
Crack Treated Seriously,64
Midoriya Izuku is a Dork,64
Aizawa Shouta | Eraserhead is So Done,61
Smart Midoriya Izuku,60
Yagi Toshinori | All Might Bashing,59
Bakugou Katsuki Redemption,59
Todoroki Enji | Endeavor's Bad Parenting,59
Protective Class 1-A (My Hero Academia),59
Angst and Hurt/Comfort,57
Dead Midoriya Inko,57
Class 1-A Shenanigans (My Hero Academia),54
Bakugou Katsuki & Midoriya Izuku are Best Friends,54
Post-Traumatic Stress Disorder - PTSD,53
Suicidal Thoughts,52
Class 1-A as Family (My Hero Academia),52
Bakugou Katsuki Needs a Hug,51
Quirkless Discrimination (My Hero Academia),50
Aizawa Shouta | Eraserhead Adopts Midoriya Izuku,49
Villain Midoriya Izuku,47
Depressed Midoriya Izuku,45
Bakugou Mitsuki's Bad Parenting,45
Bakugou Katsuki is a Dork,44
Fluff and Humor,44
Not Beta Read,44
Child Abuse,43
Midoriya Izuku is Bad at Feelings,43
Friendship,43
Humor,42
Kidnapping,42
Midoriya Izuku Does Not Go to U.A. High School,41
Aizawa Shouta | Eraserhead Adopts Shinsou Hitoshi,41
Supportive Class 1-A (My Hero Academia),41
Sassy Midoriya Izuku,40
Light Angst,40
Suicide Attempt,39
Midoriya Izuku is a Good Friend,39
Midoriya Inko's Bad Parenting,38
Quirk Discrimination (My Hero Academia),38
Genius Midoriya Izuku,38
Implied/Referenced Suicide,38
Married Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic,37
Midoriya Izuku Swears,37
Bakusquad (My Hero Academia),37
Sensei | All For One is Midoriya Hisashi,36
Kirishima Eijirou is a Good Friend,35
Mineta Minoru is Expelled from U.A. High School,34
Analyst Midoriya Izuku,34
Self-Harm,33
Suicidal Midoriya Izuku,33
Bakugou Katsuki-centric,33
Angry Midoriya Izuku,33
Character Death,32
Aged-Up Character(s),32
Mutual Pining,32
Angry Bakugou Katsuki,32
Alternate Universe,32
Boku no Hero Academia | My Hero Academia Manga Spoilers,31
Time Travel,30
Pro Hero Midoriya Izuku,30
Protective Shinsou Hitoshi,30
Found Family,29
Bakugou Katsuki is a Little Shit,29
Midoriya Izuku Needs Therapy,29
Feral Midoriya Izuku,29
Midoriya Izuku & Shinsou Hitoshi Friendship,28
Dabi is Todoroki Touya,28
Bakugou Katsuki & Midoriya Izuku are Childhood Friends,28
Heavy Angst,28
Dekusquad (My Hero Academia),28
Blood and Injury,28
Scary Midoriya Izuku,28
BAMF Bakugou Katsuki,28
Protective Yamada Hizashi | Present Mic,27
no beta we die like men,27
Bakugou Katsuki Faces Consequences,27
Tooth-Rotting Fluff,27
Midoriya Izuku Has Trust Issues,27
Happy Ending,27
Nightmares,27
Pining Bakugou Katsuki,26
Mental Health Issues,26
Midoriya Izuku is a Mess,26
Fluff and Crack,26
Hurt Bakugou Katsuki,26
Minor Character Death,25
Pro Hero Bakugou Katsuki,25
Implied/Referenced Self-Harm,25
Childhood Friends,25
Overpowered Midoriya Izuku,25
5+1 Things,25
Midoriya Izuku is a Problem Child,24
Midoriya Izuku is a Nerd,24
Tsundere Bakugou Katsuki,24
BAMF Midoriya Inko,24
kind of,24
Midoriya Izuku-centric,23
Anxiety,23
Dadzawa - An Aizawa Shota Zine,23
Attempt at Humor,23
Canon Compliant,23
Uraraka Ochako is a Good Friend,23
Yagi Toshinori | All Might is a Bad Teacher,23
Aizawa Shouta | Eraserhead is a Good Teacher,23
Bully Bakugou Katsuki,23
Abusive Midoriya Inko,22
Future Fic,22
Adopted Shinsou Hitoshi,22
Dabi is a Todoroki,22
Blood and Gore,22
Sort Of,22
Midoriya Izuku Has Multiple Quirks,22
Trauma,22
Dissociation,21
Characters Are Pro Heroes (My Hero Academia),21
Midoriya Izuku Whump,21
Swearing,21
Depression,21
Self-Esteem Issues,21
Midoriya Hisashi's Bad Parenting,21
I Wrote This Instead of Sleeping,21
Major Character Injury,21
Support Department Midoriya Izuku,21
Midoriya Izuku Has PTSD - Post-Traumatic Stress Disorder,21
Torture,21
Bakugou Katsuki Has PTSD - Post-Traumatic Stress Disorder,21
Whump,20
Abusive Midoriya Hisashi,20
Getting Together,20
Villain Midoriya Hisashi,20
Violence,20
Protective Yagi Toshinori | All Might,20
Adorable Midoriya Izuku,19
Oblivious Midoriya Izuku,19
Alpha/Beta/Omega Dynamics,19
Midoriya Izuku Has All for One Quirk,19
Angst and Feels,19
Character Study,19
Platonic Relationships,19
Midoriya Izuku Has Issues,19
Protective Todoroki Shouto,19
Midoriya Izuku is So Done,19
Midoriya Izuku Has PTSD,19
