value,count
First Time,205
Fluff,169
Angst,150
First Kiss,134
Anal Sex,110
Hurt/Comfort,101
Romance,98
Alternate Universe,84
Alpha/Beta/Omega Dynamics,72
Friends to Lovers,69
Humor,67
Frottage,58
Don't copy to another site,56
,54
Oral Sex,53
Case Fic,52
Omega Verse,50
Blow Jobs,49
Rimming,49
Pining,46
Masturbation,45
Johnlock - Freeform,44
Hand Jobs,40
Virgin Sherlock,39
Established Relationship,38
BAMF John,37
Teenlock,36
Explicit Sexual Content,36
Parentlock,34
Knotting,33
Dirty Talk,33
Mating Cycles/In Heat,33
BAMF!John,32
Happy Ending,32
Slow Burn,32
AU,32
Fluff and Angst,31
Dubious Consent,30
Smut,30
Kissing,30
Emotional Hurt/Comfort,30
Pre-Slash,29
Slash,28
Anal Fingering,28
Unresolved Sexual Tension,28
Angst with a Happy Ending,27
Pining Sherlock,27
Love Confessions,27
Alpha/Omega,27
Mpreg,26
Alternate Universe - Different First Meeting,25
Developing Relationship,24
Post Reichenbach,24
Alpha Sherlock,23
Don’t copy to another site,23
Omega John,22
Crossover,22
POV John Watson,22
Alpha John,22
Omega Sherlock,22
Drama,22
Omegaverse,21
Bonding,21
Christmas,21
Family,21
Soulmates,20
Johnlock Roulette,19
Texting,19
Fake/Pretend Relationship,19
Sharing a Bed,19
Post-Reichenbach,18
Crack,18
Friendship,18
Sexual Content,18
Kink Meme,17
Biting,17
Misunderstandings,17
Bondage,17
Declarations Of Love,17
Magical Realism,17
First Meetings,17
Unilock,17
POV Sherlock Holmes,17
Mildly Dubious Consent,17
Johnlock Fluff,17
Resolved Sexual Tension,17
Drug Use,16
Alternate Universe - Magical Realism,16
Plot What Plot/Porn Without Plot,16
Fluff and Smut,16
Podfic Available,16
Arranged Marriage,16
Jealousy,16
Mental Health Issues,15
Rough Sex,15
Idiots in Love,15
Loss of Virginity,15
Grief/Mourning,15
Possessive Sherlock,15
Cuddling & Snuggling,15
Epistolary,15
Possessive Behavior,14
5+1 Things,14
Infidelity,14
Love,14
Slow Build,14
Minor Character Death,14
Kidnapping,14
Alternate Universe - Canon Divergence,13
Alpha!Sherlock,13
Omega!John,13
Violence,13
Alternate Universe - Soulmates,13
Orgasm Delay/Denial,13
Sort Of,13
Marriage Proposal,12
Mutual Pining,12
Falling In Love,12
Fix-It,12
Miscommunication,12
Unrequited Love,12
Eventual Happy Ending,12
Suicidal Thoughts,12
Bottom Sherlock Holmes,12
Protective John,12
Insecure Sherlock,12
Potterlock,11
Sherlock Loves John,11
Spanking,11
Mating,11
Secret Relationship,11
Top John,11
PTSD,11
Jealous Sherlock,11
PWP,11
Anal Play,11
Kid Fic,11
Sherlock Being Sherlock,11
Jealous John,11
Explicit Consent,11
Depression,10
Marking,10
Post-Season/Series 03,10
Tattoos,10
Alternate Universe - Fusion,10
Sherlock Holmes and Feelings,10
Torture,10
Friendship/Love,10
John is a Saint,10
Sexual Tension,10
Alternate Universe - High School,9
Voyeurism,9
Alternate Universe - Vampire,9
Established Sherlock Holmes/John Watson,9
Asexuality,9
Coming Out,9
Bondlock,9
Virgin!Sherlock,9
Porn,9
Mutual Masturbation,9
Humour,9
Past Abuse,9
Alternate Universe - College/University,9
UST,9
Sexting,9
Comeplay,8
POV First Person,8
Explicit Language,8
Consent Issues,8
Q is a Holmes,8
Mycroft's Meddling,8
Past Drug Use,8
John Loves Sherlock,8
Christmas Fluff,8
Awkward Sexual Situations,8
post-series 3,8
Top John Watson,8
John in Afghanistan,8
Bottom John,8
Bottom Sherlock,8
Sex Toys,8
Age Difference,8
Developing Sherlock Holmes/John Watson,8
BAMF John Watson,8
Nightmares,8
Fingerfucking,8
Phone Sex,8
Rape/Non-con Elements,8
Sentinel/Guide Bonding,8
Original Character(s),8
Eventual Smut,8
BDSM,8
Magic,7
Alternate Universe - Historical,7
BAMF!Sherlock,7
Post-Traumatic Stress Disorder - PTSD,7
Scenting,7
Bisexual John,7
Mind Palace,7
Vampires,7
rugby!john,7
Valentine's Day,7
Captain John Watson,7
Domestic,7
Porn with Feelings,7
PTSD John,7
Top Sherlock,7
Soul Bond,7
ACD Canon References,7
Deepthroating,7
Public Sex,7
Sherlock Holmes Has Feelings,7
Size Kink,7
Topping from the Bottom,7
Psychological Trauma,7
Vampire Sherlock,7
Internalized Homophobia,7
John-centric,7
Therapy,7
Amnesia,7
Sentinel/Guide,7
Catlock,7
sub!Sherlock,7
Kidlock,7
Supernatural Elements,6
Canon-Typical Violence,6
Scars,6
Shower Sex,6
Claiming,6
Mounting,6
Banter,6
Greg Lestrade & John Watson Friendship,6
Blood Drinking,6
John Plays Rugby,6
Mycroft Being Mycroft,6
Confessions,6
Love at First Sight,6
Character Death,6
Requited Love,6
Injury,6
Pining John,6
Post-Season/Series 04,6
Unreliable Narrator,6
Soulmate-Identifying Marks,6
Omega John Watson,6
Sleepy Cuddles,6
Light Dom/sub,6
Teacher-Student Relationship,6
Schmoop,6
Bisexual John Watson,6
Implied/Referenced Child Abuse,6
First Time Blow Jobs,6
Hurt John Watson,6
John is a Very Good Doctor,6
Dom/sub,6
Parenthood,6
Complete,6
Alternate Universe - Fantasy,6
Asexual!Sherlock,6
Sherlock's Violin,6
Sexual Fantasy,6
mild AU,6
Sickfic,6
Sex,6
Homophobia,6
Fluff and Humor,6
Unsafe Sex,6
Implied/Referenced Drug Use,6
Bottom!Sherlock,6
Werewolves,6
Angst and Humor,6
Massage,6
Psychopathology & Sociopathy,5
Reunions,5
Prompt Fic,5
Kink Exploration,5
Bloodplay,5
Light Angst,5
Minor Violence,5
Not Season/Series 03 Compliant,5
POV Outsider,5
balletlock,5
post-Mary,5
Praise Kink,5
Whump,5
Action/Adventure,5
Non-Consensual Drug Use,5
Big Brother Mycroft,5
Past Child Abuse,5
Snark,5
POV Third Person,5
Underage Sex,5
Coming Untouched,5
Sherlock Is A Bit Not Good,5
Sounding,5
Arguing,5
221B Baker Street,5
Hair-pulling,5
Sherlock is a Mess,5
PTSD Sherlock,5
Mild Angst,5
Panic Attacks,5
Marriage,5
Cuddles,5
Abuse,5
Protective Mycroft,5
Courtship,5
Wingfic,5
Suicide,5
Alternate Universe - Werewolf,5
Cooking,5
POV: John Watson,5
Male Slash,5
Alternate Universe - Magic,5
Humiliation,5
Post-His Last Vow,5
Anal,5
Pregnancy,5
Cat Ears,5
Non Consensual,5
Light Bondage,5
Don't copy work to another site,5
Unplanned Pregnancy,5
It's totally gross that I had to add that tag,5
Drugs,5
Alternate Universe - Coffee Shops & Cafés,5
Dom!John,5
dub con,5
Letters,5
Magic Realism,5
Перевод на русский | Translation in Russian,5
The Other Holmes - Freeform,5
top!John,5
Holmes Brothers,5
Present Tense,5
Weddings,5
Codependency,4
Blood,4
Clint Barton is So Done,4
Insecurity,4
Pet Names,4
Aftercare,4
Rape,4
Psychological Torture,4
Gender Issues,4
Love Letters,4
Possessive!Sherlock,4
top!Sherlock,4
bottom!John,4
Sherlock in Love,4
Scotland,4
Daddy Kink,4
Daddy Sherlock,4
Post-Divorce,4
Docking,4
Bullying,4
