value,count
Angst,232
Fluff,214
Hurt/Comfort,162
Jimmy | Solidarity and Lizzie | LDShadowLady are Siblings,146
Other Additional Tags to Be Added,142
Fluff and Angst,125
Alternate Universe - Empires SMP Setting (Video Blogging RPF),105
Empires SMP Season 1,91
Not RPF,85
Cod Hybrid Jimmy | Solidarity,84
Axolotl Hybrid Lizzie | LDShadowLady (Video Blogging RPF),80
Angst with a Happy Ending,69
Alternate Universe - High School,67
Alternate Universe - Modern Setting,66
Flower Husbands,63
Elf Scott | Smajor1995 | Dangthatsalongname,62
Alternate Universe - Canon Divergence,56
Blood and Injury,54
Winged Scott | Smajor1995 | Dangthatsalongname,52
Alternate Universe - Superheroes/Superpowers,51
Watcher Charles | Grian,51
Scott | Smajor1995 | Dangthatsalongname Needs a Hug,49
Jimmy | Solidarity Needs a Hug,48
Seablings,48
Joel | SmallishBeans-centric,47
Scott | Smajor1995 | Dangthatsalongname Has a Sibling Named Xornoth,47
Character Death,45
Alternate Universe,44
How Do I Tag,43
Avian Charles | Grian,43
Slow Burn,42
Empires SMP Season 2,42
Emotional Hurt/Comfort,42
Jimmy | Solidarity-centric,40
Charles | Grian and Pearl | PearlescentMoon are Siblings,40
Hurt No Comfort,40
Canon-Typical Violence,39
Bryce | fWhip and GeminiTay are Twins,39
Light Angst,39
Temporary Character Death,38
Swearing,35
Tags May Change,33
Implied/Referenced Character Death,33
Everyone Needs A Hug,32
Married Joel | SmallishBeans/Lizzie | LDShadowLady,31
Winged Charles | Grian,31
Kidnapping,30
Minor Character Death,30
Happy Ending,30
Amnesia,29
Charles | Grian and Jimmy | Solidarity are Siblings,29
Magic,29
Charles | Grian Needs a Hug,28
Angst and Hurt/Comfort,28
Canary Jimmy | Solidarity,28
Idiots in Love,28
Chatting & Messaging,28
Established Relationship,27
Kingdom of Mezalea on Empires SMP Setting (Video Blogging RPF),26
Panic Attacks,26
Not Beta Read,25
Kissing,25
Author Is Sleep Deprived,24
Scott | Smajor1995 | Dangthatsalongname-centric,24
Friendship,23
Crack,23
Ocean Empire on Empires SMP Setting (Video Blogging RPF),23
Violence,23
Canary Hybrid Jimmy | Solidarity,23
Domestic Fluff,23
Blaze Hybrid TangoTek (Video Blogging RPF),23
Blood,23
Parrot Hybrid Charles | Grian,22
Blood and Violence,22
Corruption,22
Bryce | fWhip and GeminiTay are Siblings,22
Tooth-Rotting Fluff,21
Hybrids,21
Charles | Grian-centric,21
Alternate Universe - Fantasy,21
Flirting,21
Memory Loss,21
Near Death Experiences,20
I Wrote This Instead of Sleeping,20
Grief/Mourning,20
Humor,20
Crying,20
Found Family,20
Bryce | fWhip and GeminiTay and MythicalSausage are Siblings,20
Canon Compliant,20
Avian Jimmy | Solidarity,20
Trans Male Character,20
empires smp - Freeform,20
Platonic Relationships,20
Scott | Smajor1995 | Dangthatsalongname Has Ice Powers,19
Torture,19
Love Confessions,19
Disabled Ryan | GoodTimesWithScar,18
Heavy Angst,18
The Watchers are Bad (Evolution SMP),18
Past Lives,18
Smut,18
Rivendell on Empires SMP Setting (Video Blogging RPF),18
Crack Treated Seriously,18
Death,17
