value,count
Hurt/Comfort,3478
Fluff,3052
Angst,2769
Fluff and Angst,1494
Angst with a Happy Ending,1449
TommyInnit-centric (Video Blogging RPF),1212
Found Family,1095
Sleepy Bois Inc as Family,1040
Wilbur Soot and Technoblade and TommyInnit are Siblings,1018
Emotional Hurt/Comfort,1017
Alternate Universe - Canon Divergence,966
Protective Wilbur Soot,954
Implied/Referenced Child Abuse,950
TommyInnit Needs a Hug (Video Blogging RPF),944
Protective Technoblade (Video Blogging RPF),829
Other Additional Tags to Be Added,755
Platonic Cuddling,697
Platonic Relationships,670
Panic Attacks,668
Traumatized TommyInnit (Video Blogging RPF),657
Kidnapping,610
Alternate Universe,607
Angst and Hurt/Comfort,558
Happy Ending,553
Hurt TommyInnit (Video Blogging RPF),548
Alternate Universe - Superheroes/Superpowers,545
Family Dynamics,544
Blood and Injury,529
Light Angst,524
Protective Phil Watson (Video Blogging RPF),511
Suicidal Thoughts,495
Dark Sleepy Bois Inc,495
Humor,483
Piglin Hybrid Technoblade (Video Blogging RPF),479
TommyInnit Angst (Video Blogging RPF),479
Post-Traumatic Stress Disorder - PTSD,476
Tony Stark Has A Heart,460
Domestic Fluff,458
Good Parent Phil Watson (Video Blogging RPF),450
Alternate Universe - Modern Setting,448
Tony Stark Acting as Peter Parker's Parental Figure,441
Friendship,435
Possessive Behavior,425
Older Sibling Wilbur Soot,424
Winged Phil Watson (Video Blogging RPF),419
Slow Burn,411
Sleepy Bois Inc-centric,394
Child Abuse,380
BAMF TommyInnit (Video Blogging RPF),377
Fluff and Humor,369
Touch-Starved TommyInnit (Video Blogging RPF),362
Swearing,361
Crack Treated Seriously,350
Tooth-Rotting Fluff,346
Anal Sex,343
First Kiss,342
Precious Peter Parker,341
Canon-Typical Violence,338
Minor Character Death,336
Violence,336
Winged TommyInnit (Video Blogging RPF),336
Heavy Angst,332
Peter Parker Needs a Hug,326
Alternate Universe - College/University,325
Character Death,324
Smut,318
Villain Clay | Dream (Video Blogging RPF),316
Enderman Hybrid Ranboo (Video Blogging RPF),315
Wilbur Soot and TommyInnit are Siblings,314
Not Beta Read,313
Bakugou Katsuki Swears A Lot,312
Unreliable Narrator,309
Family Fluff,305
