web-scraper-order,web-scraper-start-url,fandom,relationship,title,datetime,kudos,rating,warnings,tags
"1715628003-1","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=50&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","Hotline Bling","08 Nov 2015","","","",""
"1715628003-2","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=50&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","Hotline Bling","","22","","",""
"1715628003-3","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=50&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","Hotline Bling","","","Teen And Up Audiences","",""
"1715628003-4","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=50&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","Hotline Bling","","","","No Archive Warnings Apply",""
"1715628003-5","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=50&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Kelley O'Hara/Hope Solo","Love is all around","31 Jan 2016","","","",""
"1715628003-6","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=50&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Kelley O'Hara/Hope Solo","Love is all around","","21","","",""
"1715628003-7","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=50&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Kelley O'Hara/Hope Solo","Love is all around","","","Teen And Up Audiences","",""
"1715628003-8","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=50&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Kelley O'Hara/Hope Solo","Love is all around","","","","Creator Chose Not To Use Archive Warnings",""
"1715628003-9","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=50&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Kelley O'Hara/Hope Solo","Love is all around","","","","","Alternate Universe - High School"
"1715628003-10","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=50&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","College to Life","27 Aug 2015","","","",""
