fandom,relationship,taggedRel,title,relType,isCanon,isRPF,datetime,kudos,rating,warnings,tags
Marvel Cinematic Universe,Peter Parker & Tony Stark,Peter Parker & Tony Stark,"Like Father, Like Son",Gen,Semi-Canon,No,29 May 2018,"3,512",Teen And Up Audiences,No Archive Warnings Apply,"Alternate Universe - Canon Divergence,Superfamily (Marvel),Parent Tony Stark,Peter Parker Has a Family,Parent-Child Relationship,Tony Stark Feels,Author Is Sleep Deprived,Tony Stark Needs a Hug,Peter Parker Gives Excellent Hugs,Slow Burn Steve Rogers/Tony Stark,Civil War Fix-It,Slow Burn Michelle Jones/Peter Parker,Alternate Canon"
Marvel Cinematic Universe,Peter Parker & Tony Stark,Peter Parker & Tony Stark,Stark's Internship,Gen,Semi-Canon,No,16 Aug 2021,"3,511",General Audiences,Creator Chose Not To Use Archive Warnings,"Field Trip,Peter Parker's Field Trip to Stark Industries,well more like the acadec team goes on a field trip,and sees peter,Fluff,Parent Tony Stark,Tony Stark is a Good Dad,Peter Parker is Tony Stark's Biological Child,Stark Industries,Stark Industries Employee Peter Parker,Identity Reveal,Kinda,not really - Freeform,but also kinda,Good Parent Tony Stark,why isnt that a tag,it should be,smh,inaccurate science,tw food mention,i think thats the only tw,One Shot,pspspsps come get ur fic,pspspspsp,ok im stopping on tags,Intern Peter Parker,Irondad,spiderson"
Iron Man (Movies),Peter Parker & Tony Stark,Peter Parker & Tony Stark,Pitfalls of Parenting,Gen,Semi-Canon,No,06 Jul 2017,"3,510",General Audiences,No Archive Warnings Apply,"Post-Captain America: Civil War (Movie),Civil War Team Iron Man,Parenting,Dialogue Heavy,Not Spider-Man: Homecoming Compliant"
Marvel Cinematic Universe,Peter Parker & Tony Stark,Peter Parker & Tony Stark,Grandparents Day at Midtown,Gen,Semi-Canon,No,27 Jun 2021,"3,509",General Audiences,No Archive Warnings Apply,"Tony Stark Acting as Peter Parker's Parental Figure,Peter Parker Needs a Hug,Precious Peter Parker,Protective Nick Fury,Grandparents & Grandchildren,Grandpa Fury,Grumps Pym,Peter Parker Gets a Hug,Peter Parker Has a Family,Peter Parker Feels,Domestic Fluff,Domestic Avengers"
Spider-Man (Tom Holland Movies),Peter Parker & Tony Stark,Peter Parker & Tony Stark,Five Times Tony Stark's Fabled Intern Just Showed Up + One Time He Was Invited,Gen,Semi-Canon,No,17 Jun 2022,"3,507",General Audiences,No Archive Warnings Apply,"POV Outsider,5+1 Things,Fluff and Humor,Light Angst,Fabled Intern Peter Parker,Tony Stark Acting as Peter Parker's Parental Figure,Protective Tony Stark,Precious Peter Parker,Tony Stark is Extra,Peter Parker is a Little Shit,Cryptid Peter Parker,Identity Reveal"
The Avengers (Marvel Movies),Peter Parker & Mantis,Peter Parker & Tony Stark,It’s Go Time Now,Gen,Semi-Canon,No,03 May 2018,"3,506",General Audiences,No Archive Warnings Apply,"Deleted Scenes,Humor,Fluff & Angst,Light Angst,Drama,Comedy,Dialogue Heavy,Infinity War spoilers,they’re not BAD but there is some pretty major important stuff that’s just IMPLIED,if you’re really uptight about spoilers stay away,peter makes friends w everyone,Friendship,Team Bonding,Team Dynamics,Team as Family,Bonding over music,i love EVERYONE give me a break,High-fives,high-fiving all around,mantis bitch slaps peter lmao jk,Kinda,Crack Treated Seriously,jk i do take this seriously okay,Fluff,Cute,Self-Indulgent,Shenanigans,call me by my name... and i’ll call you by... yours... wait"
Iron Man (Movies),Peter Parker & Tony Stark,Peter Parker & Tony Stark,Career Day Blues,Gen,Semi-Canon,No,06 Jun 2020,"3,502",Not Rated,No Archive Warnings Apply,"career day trope,Tony Stark Acting as Peter Parker's Parental Figure,Tony Stark Has A Heart,Protective Tony Stark,Tony Stark Does What He Wants,Precious Peter Parker,Peter Parker is a Little Shit,Ned Leeds is a Good Bro,Fluff and Humor,Flash Thompson Being A Jerk,Flash Thompson Bullies Peter Parker,Not Beta Read,Not Avengers: Endgame (Movie) Compliant,Captain America: Civil War (Movie) Compliant,Art"
Marvel Cinematic Universe,Peter Parker & Tony Stark,Peter Parker & Tony Stark,A Peek into Peter Parker's Profession,Gen,Semi-Canon,No,13 May 2019,"3,495",Not Rated,No Archive Warnings Apply,"Field Trip,Identity Reveal,Irondad,spiderson,Confident Peter Parker,Bullying,PrincessSpider,Fluff,Teasing,First Kiss,Confused Avengers"
Spider-Man: Homecoming (2017),Peter Parker & Tony Stark,Peter Parker & Tony Stark,Visiting,Gen,Semi-Canon,No,11 Feb 2019,"3,495",Not Rated,No Archive Warnings Apply,"Tony Stark Has A Heart,BAMF Peter Parker,Pre-Avengers: Infinity War Part 1 (Movie),Protective Peter Parker,Pete isn't a fan of Steve"
Marvel Cinematic Universe,Peter Parker & Tony Stark,Peter Parker & Tony Stark,Stand Still,Gen,Semi-Canon,No,16 Nov 2023,"3,492",Teen And Up Audiences,No Archive Warnings Apply,"Tony Stark Acting as Peter Parker's Parental Figure,Peter Parker Needs a Hug,Peter Parker is a Mess,Peter Parker Whump,BAMF Peter Parker,Teen Peter Parker,Peter Parker Gets a Hug,Peter Parker Acts Like a Spider,Peter Parker is Trying His Best,Scared Peter Parker,Precious Peter Parker,peter parker must be protected at all costs,Tony Stark Has A Heart,Tony Stark Needs a Hug,Protective Tony Stark,BAMF Tony Stark,Tony Stark Lives,Canon Divergence - Avengers: Infinity War Part 1 (Movie),infinity war spoliers,Thanos Dies (Marvel),Nebula Kills Thanos (Marvel),Thanos's Snap Doesn't Happen (Marvel),Fluff and Humor,Fluff and Crack,Crack Treated Seriously,Fluff and Angst,Angst with a Happy Ending,One Shot,One Shot Collection,Prompt Fic,Prompt Fill,Complete"
